Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
1	-324.1571	101.53572	-204.31589	-488.91077	-161.15689	9.071138	-149.36992	-184.64468	1000.0	1000.0	5000	5.019095	4.412436	24.981937	-9.557365	5.018794	4.4139028	24.679567	-10.41085	5.943121	4.3845873	25.148323	-10.879413	-2.0816913	2.7875907	90.16789	-15.709089	-6.09099	0.29196602	0.28540033	0.22337838	12.171326637268066
2	-273.70844	63.020298	-234.37527	-398.2914	-234.90198	16.21565	-205.35045	-258.69257	1000.0	1000.0	10000	19.738049	6.7390604	46.875328	-0.42643517	19.737703	6.7380576	47.319153	-0.7499851	21.011772	6.8047113	53.18828	1.7903275	-1.2129136	2.6187332	16.019714	-15.225241	-21.346483	0.61149544	0.6184817	0.36522576	24.01169466972351
3	-32.534477	218.72523	335.82028	-332.84872	896.6903	410.33237	1229.3741	160.15141	1000.0	1000.0	15000	34.14054	8.048219	77.59491	16.086704	34.140526	8.046963	77.70402	15.935167	35.0961	8.146252	76.73568	18.107243	-1.5378114	2.5275376	20.80734	-15.751347	-35.54989	0.68858093	0.69672334	0.4983372	37.06347584724426
4	558.3919	275.2641	930.1314	94.02053	190.96509	150.55206	564.4941	31.981201	1000.0	1000.0	20000	40.80435	11.948168	82.6342	20.147429	40.804237	11.949008	82.51679	20.194658	41.467133	11.927152	82.875854	21.04673	-2.258323	1.9739797	18.091103	-13.391978	-41.923187	0.81780654	0.8212551	0.5302471	49.96356177330017
5	1074.6797	277.63318	1499.6439	732.61395	2253.2524	84.48446	2410.7375	2144.7644	1000.0	1000.0	25000	48.757397	16.457296	96.71177	19.427471	48.757336	16.458677	97.74227	19.429688	49.400333	16.379725	97.035995	20.608362	-1.7591115	2.3200035	16.05953	-12.315708	-49.897076	1.1907953	1.1829896	0.69065654	63.38804221153259
6	1771.5352	123.65415	1894.5006	1550.5973	2317.2515	67.8028	2451.3896	2221.4668	1000.0	1000.0	30000	61.065784	22.257807	114.28061	16.237946	61.06573	22.258427	117.74242	16.865255	61.683445	22.083061	114.99928	17.844822	-1.2054766	2.6055977	16.697132	-16.022488	-62.234318	1.4880685	1.4775221	0.88446015	76.50070548057556
7	2078.7876	153.69058	2238.0557	1827.1403	2816.6118	78.453	2974.4324	2694.4949	1000.0	1000.0	35000	76.19208	27.93265	134.88652	14.411654	76.19216	27.933168	133.49777	13.78737	76.77622	27.67619	132.97394	17.125484	-0.78666943	2.694877	17.736607	-13.277267	-77.37094	1.7418855	1.7289464	1.0485358	89.71288132667542
8	2420.7632	164.07802	2636.007	2174.8594	3114.0105	66.328575	3250.2358	3031.8433	1000.0	1000.0	40000	92.225235	32.839115	156.08035	13.104675	92.22525	32.83954	154.94417	11.081821	92.80358	32.516304	153.329	14.089417	-0.25668088	2.888609	19.677803	-14.502129	-93.448044	1.9842218	1.9767252	1.1981994	102.95531153678894
9	2694.7563	77.13117	2756.241	2543.5615	3399.3684	107.74894	3597.9585	3231.0522	1000.0	1000.0	45000	109.19895	37.245197	179.06944	11.652195	109.199165	37.24572	180.47482	9.527642	109.73809	36.84809	179.16057	11.639112	0.19087067	3.0235572	20.121353	-13.084512	-110.42865	2.2609024	2.2585094	1.4121604	116.05811810493469
10	2918.6445	140.93939	3166.3318	2777.93	3375.1753	360.1722	3602.5557	2323.2708	1000.0	1000.0	50000	125.38954	40.692818	199.329	10.582217	125.38959	40.692936	199.49142	8.661164	125.864845	40.241722	196.356	12.327167	0.5179269	3.0900805	21.13817	-15.742128	-126.58449	2.5850186	2.5824044	1.5507048	129.50156998634338
